0000 t=     0..     8 DMA Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=1, s1=0, src=0x80000000, dst=0x00001000, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0012 t=    52..    60 DMA Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=2, s1=0, src=0x80006000, dst=0x00002000, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0013 t=    60..    64 DMA Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=11, s1=0, src=0x80009800, dst=0x00003000, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0014 t=    60..    61 ACT Cmd(op=0x21, flags=0x01, w0=10, w1=0, s0=12, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0015 t=    61..    63 ACT Cmd(op=0x40, flags=0x04, w0=12, w1=7, s0=13, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003400, a1=0x007FFF80, a2=0x00000000)
0016 t=    64..    68 DMA Cmd(op=0x02, flags=0x02, w0=13, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004020, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0017 t=    64..    80 MAC Cmd(op=0x10, flags=0x00, w0=1, w1=2, s0=14, s1=0, src=0x00001000, dst=0x00000000, sz/M=0x00000020, a0=0x00002000, a1=0x00000020, a2=0x00000040)
0018 t=    68..    76 DMA Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=15, s1=0, src=0x80000800, dst=0x00001800, sz/M=0x00000800, a0=0x00000020, a1=0x00000040, a2=0x00000040)
0019 t=    76..    84 DMA Cmd(op=0x03, flags=0x00, w0=0, w1=0, s0=16, s1=0, src=0x80006800, dst=0x00002800, sz/M=0x00000800, a0=0x00000000, a1=0x00000000, a2=0x00000000)
0020 t=    84..    88 DMA Cmd(op=0x01, flags=0x02, w0=0, w1=0, s0=17, s1=0, src=0x80009820, dst=0x00003400, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0021 t=    84..    85 ACT Cmd(op=0x21, flags=0x01, w0=14, w1=0, s0=18, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007000, a2=0x00000000)
0022 t=    85..    87 ACT Cmd(op=0x40, flags=0x04, w0=18, w1=11, s0=19, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003000, a1=0x007FFF80, a2=0x00000000)
0023 t=    88..    92 DMA Cmd(op=0x02, flags=0x02, w0=19, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004800, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)
0024 t=    88..   104 MAC Cmd(op=0x10, flags=0x00, w0=15, w1=16, s0=20, s1=0, src=0x00001800, dst=0x00000000, sz/M=0x00000020, a0=0x00002800, a1=0x00000020, a2=0x00000040)
0025 t=    88..    89 ACT Cmd(op=0x21, flags=0x01, w0=20, w1=0, s0=21, s1=0, src=0x00000000, dst=0x00003800, sz/M=0x00000020, a0=0x00000020, a1=0x80007100, a2=0x00000000)
0026 t=    89..    91 ACT Cmd(op=0x40, flags=0x04, w0=21, w1=17, s0=22, s1=0, src=0x00003800, dst=0x00003800, sz/M=0x00000400, a0=0x00003400, a1=0x007FFF80, a2=0x00000000)
0027 t=    92..    96 DMA Cmd(op=0x02, flags=0x02, w0=22, w1=0, s0=0, s1=0, src=0x00003800, dst=0x80004820, sz/M=0x00000400, a0=0x00000020, a1=0x00000020, a2=0x00000040)

SIM SUMMARY: DMA_end=96, MAC_end=104, ACT_end=91, makespan=104
Events signaled: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]
