index,type,name
85,Conv,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/reparam_conv/Conv
86,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul
87,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_1
88,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant
89,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_2
90,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add
91,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_1
92,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_3
93,Tanh,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Tanh
94,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_2
95,Add,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Add_1
96,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_4
97,Constant,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Constant_3
98,Mul,/vision_model/vision/_en/stages.1/downsample/proj/proj.1/act/Mul_5
99,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/token_mixer/reparam_conv/Conv
100,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/conv/conv/Conv
101,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc1/Conv
102,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul
103,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_1
104,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant
105,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_2
106,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add
107,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_1
108,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_3
109,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Tanh
110,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_2
111,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Add_1
112,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_4
113,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Constant_3
114,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/act/Mul_5
115,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.0/mlp/fc2/Conv
116,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.0/layer_scale/Mul
117,Add,/vision_model/vision/_en/stages.1/blocks/blocks.0/Add
118,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/token_mixer/reparam_conv/Conv
119,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/conv/conv/Conv
120,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc1/Conv
121,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul
122,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_1
123,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant
124,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_2
125,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add
126,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_1
127,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_3
128,Tanh,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Tanh
129,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_2
130,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Add_1
131,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_4
132,Constant,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Constant_3
133,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/act/Mul_5
134,Conv,/vision_model/vision/_en/stages.1/blocks/blocks.1/mlp/fc2/Conv
135,Mul,/vision_model/vision/_en/stages.1/blocks/blocks.1/layer_scale/Mul
136,Add,/vision_model/vision/_en/stages.1/blocks/blocks.1/Add
137,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.0/reparam_conv/Conv
138,Conv,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/reparam_conv/Conv
139,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul
140,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_1
141,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant
142,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_2
143,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add
144,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_1
145,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_3
146,Tanh,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Tanh
147,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_2
148,Add,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Add_1
149,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_4
150,Constant,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Constant_3
151,Mul,/vision_model/vision/_en/stages.2/downsample/proj/proj.1/act/Mul_5
152,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/token_mixer/reparam_conv/Conv
153,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/conv/conv/Conv
154,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/fc1/Conv
155,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul
156,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_1
157,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant
158,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_2
159,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Add
160,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant_1
161,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_3
162,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Tanh
163,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant_2
164,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Add_1
165,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_4
166,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Constant_3
167,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/act/Mul_5
168,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.0/mlp/fc2/Conv
169,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.0/layer_scale/Mul
170,Add,/vision_model/vision/_en/stages.2/blocks/blocks.0/Add
171,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/token_mixer/reparam_conv/Conv
172,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/conv/conv/Conv
173,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/fc1/Conv
174,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul
175,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_1
176,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Constant
177,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_2
178,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Add
179,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Constant_1
180,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_3
181,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Tanh
182,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Constant_2
183,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Add_1
184,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_4
185,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Constant_3
186,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/act/Mul_5
187,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.1/mlp/fc2/Conv
188,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.1/layer_scale/Mul
189,Add,/vision_model/vision/_en/stages.2/blocks/blocks.1/Add
190,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/token_mixer/reparam_conv/Conv
191,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/conv/conv/Conv
192,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/fc1/Conv
193,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul
194,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_1
195,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Constant
196,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_2
197,Add,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Add
198,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Constant_1
199,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_3
200,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Tanh
201,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Constant_2
202,Add,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Add_1
203,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_4
204,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Constant_3
205,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/act/Mul_5
206,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.2/mlp/fc2/Conv
207,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.2/layer_scale/Mul
208,Add,/vision_model/vision/_en/stages.2/blocks/blocks.2/Add
209,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.3/token_mixer/reparam_conv/Conv
210,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/conv/conv/Conv
211,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/fc1/Conv
212,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul
213,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_1
214,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Constant
215,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_2
216,Add,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Add
217,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Constant_1
218,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_3
219,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Tanh
220,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Constant_2
221,Add,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Add_1
222,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_4
223,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Constant_3
224,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_5
225,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/fc2/Conv
226,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/layer_scale/Mul
227,Add,/vision_model/vision/_en/stages.2/blocks/blocks.3/Add
228,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/token_mixer/reparam_conv/Conv
229,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/conv/conv/Conv
230,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/fc1/Conv
231,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul
232,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_1
233,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Constant
234,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_2
235,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Add
236,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Constant_1
237,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_3
238,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Tanh
239,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Constant_2
240,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Add_1
241,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_4
242,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Constant_3
243,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_5
244,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/fc2/Conv
245,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/layer_scale/Mul
246,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/Add
247,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/token_mixer/reparam_conv/Conv
248,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/conv/conv/Conv
249,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/fc1/Conv
