ParameterName,Count
vision_model.vision._en.stages.3.blocks.0.mlp.fc1.weight,786432
vision_model.vision._en.stages.3.blocks.0.mlp.fc1.bias,1536
vision_model.vision._en.stages.3.blocks.0.mlp.fc2.weight,786432
vision_model.vision._en.stages.3.blocks.0.mlp.fc2.bias,512
vision_model.vision._en.stages.3.blocks.0.layer_scale.gamma,512
vision_model.vision._en.stages.3.blocks.1.token_mixer.reparam_conv.weight,4608
vision_model.vision._en.stages.3.blocks.1.token_mixer.reparam_conv.bias,512
vision_model.vision._en.stages.3.blocks.1.mlp.fc1.weight,786432
vision_model.vision._en.stages.3.blocks.1.mlp.fc1.bias,1536
vision_model.vision._en.stages.3.blocks.1.mlp.fc2.weight,786432
vision_model.vision._en.stages.3.blocks.1.mlp.fc2.bias,512
vision_model.vision._en.stages.3.blocks.1.layer_scale.gamma,512
vision_model.vision._en.final_conv.se.fc1.weight,65536
vision_model.vision._en.final_conv.se.fc1.bias,64
vision_model.vision._en.final_conv.se.fc2.weight,65536
vision_model.vision._en.final_conv.se.fc2.bias,1024
vision_model.vision._en.final_conv.reparam_conv.weight,9216
vision_model.vision._en.final_conv.reparam_conv.bias,1024
vision_model.vision._en.head.fc.weight,2097152
vision_model.vision._en.head.fc.bias,2048
vision_model.no_bottleneck_policy.summarizer._infeats.0.weight,1048576
vision_model.no_bottleneck_policy.summarizer._infeats.0.bias,512
vision_model.no_bottleneck_policy.summarizer.resblock.block_a.0.weight,524288
vision_model.no_bottleneck_policy.summarizer.resblock.block_a.0.bias,1024
vision_model.no_bottleneck_policy.summarizer.resblock.block_a.3.weight,524288
vision_model.no_bottleneck_policy.summarizer.resblock.block_a.3.bias,512
vision_model.no_bottleneck_policy.summarizer.resblock.block_b.1.weight,524288
vision_model.no_bottleneck_policy.summarizer.resblock.block_b.1.bias,1024
vision_model.no_bottleneck_policy.summarizer.resblock.block_b.4.weight,524288
vision_model.no_bottleneck_policy.summarizer.resblock.block_b.4.bias,512
vision_model.no_bottleneck_policy.hydra.resblock.block_a.0.weight,524288
vision_model.no_bottleneck_policy.hydra.resblock.block_a.0.bias,1024
vision_model.no_bottleneck_policy.hydra.resblock.block_a.3.weight,524288
vision_model.no_bottleneck_policy.hydra.resblock.block_a.3.bias,512
vision_model.no_bottleneck_policy.hydra.resblock.block_b.1.weight,524288
vision_model.no_bottleneck_policy.hydra.resblock.block_b.1.bias,1024
vision_model.no_bottleneck_policy.hydra.resblock.block_b.4.weight,524288
vision_model.no_bottleneck_policy.hydra.resblock.block_b.4.bias,512
vision_model.no_bottleneck_policy.hydra.in_layer.meta.weight,32768
vision_model.no_bottleneck_policy.hydra.in_layer.meta.bias,64
vision_model.no_bottleneck_policy.hydra.in_layer.desire_pred.weight,16384
vision_model.no_bottleneck_policy.hydra.in_layer.desire_pred.bias,32
vision_model.no_bottleneck_policy.hydra.in_layer.road_transform.weight,16384
vision_model.no_bottleneck_policy.hydra.in_layer.road_transform.bias,32
vision_model.no_bottleneck_policy.hydra.in_layer.pose.weight,16384
vision_model.no_bottleneck_policy.hydra.in_layer.pose.bias,32
vision_model.no_bottleneck_policy.hydra.in_layer.wide_from_device_euler.weight,16384
vision_model.no_bottleneck_policy.hydra.in_layer.wide_from_device_euler.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.meta.0.weight,4096
vision_model.no_bottleneck_policy.hydra.res_layer.meta.0.bias,64
vision_model.no_bottleneck_policy.hydra.res_layer.meta.2.weight,4096
vision_model.no_bottleneck_policy.hydra.res_layer.meta.2.bias,64
vision_model.no_bottleneck_policy.hydra.res_layer.desire_pred.0.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.desire_pred.0.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.desire_pred.2.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.desire_pred.2.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.road_transform.0.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.road_transform.0.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.road_transform.2.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.road_transform.2.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.pose.0.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.pose.0.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.pose.2.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.pose.2.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.wide_from_device_euler.0.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.wide_from_device_euler.0.bias,32
vision_model.no_bottleneck_policy.hydra.res_layer.wide_from_device_euler.2.weight,1024
vision_model.no_bottleneck_policy.hydra.res_layer.wide_from_device_euler.2.bias,32
vision_model.no_bottleneck_policy.hydra.final_layer.meta.weight,3520
vision_model.no_bottleneck_policy.hydra.final_layer.meta.bias,55
vision_model.no_bottleneck_policy.hydra.final_layer.desire_pred.weight,1024
vision_model.no_bottleneck_policy.hydra.final_layer.desire_pred.bias,32
vision_model.no_bottleneck_policy.hydra.final_layer.road_transform.weight,384
vision_model.no_bottleneck_policy.hydra.final_layer.road_transform.bias,12
vision_model.no_bottleneck_policy.hydra.final_layer.pose.weight,384
vision_model.no_bottleneck_policy.hydra.final_layer.pose.bias,12
