LayerType,Count
Constant,18
Gather,2
Reshape,3
Concat,4
Gemm,47
Relu,39
Unsqueeze,1
MatMul,7
Add,26
ReduceMean,4
Sub,2
Pow,2
Sqrt,2
Div,2
Mul,5
Transpose,3
Split,1
Squeeze,3
Softmax,1
Elu,1
ReduceSum,1
